Year,Date,PlotDate,Daily_precipitation_mm,Cumulative_precipitation_mm
2025,2025-09-03,2000-09-03,23.8,335.2
2025,2025-09-04,2000-09-04,0,335.2
2025,2025-09-05,2000-09-05,0.6,335.8
2025,2025-09-06,2000-09-06,0,335.8
2025,2025-09-07,2000-09-07,0,335.8
2025,2025-09-08,2000-09-08,0,335.8
2025,2025-09-09,2000-09-09,0,335.8
2025,2025-09-10,2000-09-10,0,335.8
2025,2025-09-11,2000-09-11,0,335.8
2025,2025-09-12,2000-09-12,0,335.8
2025,2025-09-13,2000-09-13,1.7,337.5
2025,2025-09-14,2000-09-14,0,337.5
2025,2025-09-15,2000-09-15,0,337.5
2025,2025-09-16,2000-09-16,0,337.5
2025,2025-09-17,2000-09-17,0,337.5
2025,2025-09-18,2000-09-18,0,337.5
2025,2025-09-19,2000-09-19,0,337.5
2025,2025-09-20,2000-09-20,0,337.5
2025,2025-09-21,2000-09-21,32.2,369.7
2025,2025-09-22,2000-09-22,4,373.7
2025,2025-09-23,2000-09-23,2.8,376.5
2025,2025-09-24,2000-09-24,0,376.5
2025,2025-09-25,2000-09-25,0,376.5
2025,2025-09-26,2000-09-26,0.1,376.6
2025,2025-09-27,2000-09-27,0.1,376.70000000000005
2025,2025-09-28,2000-09-28,0,376.70000000000005
2025,2025-09-29,2000-09-29,0,376.70000000000005
2025,2025-09-30,2000-09-30,0.1,376.80000000000007
2025,2025-10-01,2000-10-01,0,376.80000000000007
2025,2025-10-02,2000-10-02,0,376.80000000000007
2025,2025-10-03,2000-10-03,0,376.80000000000007
2025,2025-10-04,2000-10-04,0,376.80000000000007
2025,2025-10-05,2000-10-05,0,376.80000000000007
2025,2025-10-06,2000-10-06,0,376.80000000000007
2025,2025-10-07,2000-10-07,17.8,394.6000000000001
2025,2025-10-08,2000-10-08,0,394.6000000000001
2025,2025-10-09,2000-10-09,0.1,394.7000000000001
2025,2025-10-10,2000-10-10,0,394.7000000000001
2025,2025-10-11,2000-10-11,0.1,394.8000000000001
2025,2025-10-12,2000-10-12,0.1,394.90000000000015
2025,2025-10-13,2000-10-13,0.1,395.00000000000017
2025,2025-10-14,2000-10-14,0,395.00000000000017
2025,2025-10-15,2000-10-15,1.4,396.40000000000015
2025,2025-10-16,2000-10-16,0.1,396.50000000000017
2025,2025-10-17,2000-10-17,0.3,396.8000000000002
2025,2025-10-18,2000-10-18,13,409.8000000000002
2025,2025-10-19,2000-10-19,19.5,429.3000000000002
2025,2025-10-20,2000-10-20,0,429.3000000000002
2025,2025-10-21,2000-10-21,6.3,435.6000000000002
2025,2025-10-22,2000-10-22,0.1,435.7000000000002
2025,2025-10-23,2000-10-23,2.6,438.30000000000024
2025,2025-10-24,2000-10-24,0.1,438.40000000000026
2025,2025-10-25,2000-10-25,0,438.40000000000026
2025,2025-10-26,2000-10-26,0.1,438.5000000000003
2025,2025-10-27,2000-10-27,0,438.5000000000003
2025,2025-10-28,2000-10-28,0,438.5000000000003
2025,2025-10-29,2000-10-29,0,438.5000000000003
2025,2025-10-30,2000-10-30,0,438.5000000000003
2025,2025-10-31,2000-10-31,0.4,438.90000000000026
