DateTime,DOY,CHK__1_1_1,DAQM_T_1_1_1,VIN_1_1_1,PPFD_1_1_1,P_RAIN_1_1_1,RG_1_1_1,RH_1_1_1,RN_1_1_1,SHF_1_1_1,SHF_2_1_1,SHF_3_1_1,SWC_1_1_1,SWC_2_1_1,TA_1_1_1,TS_1_1_1,TS_2_1_1,TS_3_1_1,n_SHF,n_TS,n_SWC,SHF,TS,SWC
2024-01-02T19:30:00Z,2.604,131.933,9.0776,12.1517,227.164,0,117.854,75.2514,46.7608,-7.83898,-3.07156,-6.14404,0.129584,NA,274.843,275.903,276.244,NA,3,2,1,-5.6848600000000005,276.0735,0.129584
2024-01-02T20:00:00Z,2.6249,98.2,8.84167,12.1506,196.418,0,101.894,77.4653,39.5402,-7.42423,-2.94558,-5.34153,0.129536,NA,274.713,275.901,276.297,NA,3,2,1,-5.237113333333333,276.09900000000005,0.129536
2024-01-02T20:30:00Z,2.6457,115.033,8.71406,12.1511,126.738,0,66.6439,78.0488,24.325,-7.39574,-3.29912,-4.94308,0.132291,NA,274.721,275.92,276.335,NA,3,2,1,-5.212646666666666,276.1275,0.132291
2024-01-02T21:00:00Z,2.6665,117.333,8.50078,12.1515,41.6989,0,21.4812,78.8338,2.34185,-7.47453,-3.70329,-4.78286,0.129703,NA,274.597,275.907,276.366,NA,3,2,1,-5.320226666666667,276.13649999999996,0.129703
2024-01-02T21:30:00Z,2.6873,134.133,8.32552,12.1517,24.386,0,12.1988,79.4398,-1.90109,-7.76843,-4.30032,-4.8319,0.129545,NA,274.621,275.895,276.384,NA,3,2,1,-5.6335500000000005,276.1395,0.129545
2024-01-02T22:00:00Z,2.7082,112.333,8.26406,12.1519,10.1042,0,4.87605,78.658,-5.18931,-8.00706,-4.65785,-5.03521,0.129644,NA,274.745,275.896,276.392,NA,3,2,1,-5.90004,276.144,0.129644
2024-01-02T22:30:00Z,2.729,106.133,8.26276,12.1518,1.93585,0,0.829412,79.1974,-6.9877,-8.15101,-5.02833,-5.25683,0.130566,NA,274.802,275.901,276.394,NA,3,2,1,-6.14539,276.14750000000004,0.130566
2024-01-02T23:00:00Z,2.7498,103.167,8.22422,12.1511,0.120997,0,0.0666704,80.0837,-7.03458,-8.21474,-5.35385,-5.46455,0.130459,NA,274.588,275.897,276.393,NA,3,2,1,-6.34438,276.145,0.130459
2024-01-02T23:30:00Z,2.7707,128.967,8.06719,12.1521,-3e-4,0,1.18095e-4,81.2453,-7.11418,-8.36096,-5.70085,-5.65826,0.13057,NA,274.292,275.883,276.389,NA,3,2,1,-6.573356666666667,276.13599999999997,0.13057
2024-01-03T00:00:00Z,2.7915,130.8,7.91354,12.1516,-8.71e-4,0,-4.21e-4,82.1785,-6.5476,-8.54252,-5.99438,-5.83915,0.130738,NA,274.2,275.874,276.383,NA,3,2,1,-6.792016666666666,276.12850000000003,0.130738
