Date,Rg_mean_Wm2,Tair_mean_C,RH_pct_mean,P_sum,SHF_Wm2_mean,TS_C_mean,SWC_mean,n_SHF_mean,n_TS_mean,n_SWC_mean
2024-05-12,303.76033458866664,12.670354166666685,67.50785416666666,0,3.1116719236111083,11.99607638888891,0.27219784375,3,3,2
2024-05-13,256.2610134041667,19.017583333333356,63.250075,0.0031999999999999997,16.270327555555557,14.54634722222225,0.27285917708333335,3,3,2
2024-05-14,97.80904706291668,14.372500000000025,77.53021666666666,0,5.3682061375,14.332326388888914,0.27048554166666666,3,3,2
2024-05-15,301.4436762335417,15.340750000000021,53.413045833333335,0,7.432567486111114,13.903236111111132,0.266761875,3,3,2
2024-05-16,243.55857522753618,15.706000000000019,58.977487234042556,0,6.7662391347517765,14.035985815602864,0.2627175,3,3,2
2024-05-17,214.66897908103564,18.69747916666669,78.87059791666667,0,14.172734763888888,15.510145833333358,0.2598997083333333,3,3,2
2024-05-18,304.36842860816245,18.06652083333336,71.93192291666666,0,8.55650613888889,15.324805555555578,0.25675915625,3,3,2
2024-05-19,315.8719384817854,22.53533333333336,56.166875,0,13.712647257638888,16.52515972222225,0.2530008541666667,3,3,2
2024-05-20,206.62395911377084,17.135291666666692,67.36426458333334,0.0188,6.203338708333335,15.632194444444472,0.25115284375,3,3,2
2024-05-21,239.71376645503398,18.307595744680874,88.8546829787234,0.0021,15.368029275886524,17.02851773049647,0.3035785425531915,3,3,2
2024-05-22,186.35945176965413,20.917708333333362,66.88902083333333,0,12.518175347222222,17.925180555555585,0.2901175,3,3,2
2024-05-23,328.02704810571043,17.00339583333336,60.33485208333334,0,3.2243451458333325,16.172673611111136,0.28157106249999997,3,3,2
2024-05-24,258.0784504910271,17.834875000000025,59.8945125,0,5.578823930555557,15.92485416666669,0.27519375,3,3,2
2024-05-25,326.81381775625,19.212375000000023,62.950235416666665,0.0011,8.899993574305556,17.159597222222242,0.2703654166666667,3,3,2
2024-05-26,164.41457640193616,15.789191489361727,72.92162127659574,0.003,1.7665913134751752,15.588163120567401,0.2374202234042553,3,3,1.1702127659574466
2024-05-27,66.5575972934,14.49166666666669,96.09556041666667,2e-4,3.713619875,15.96575694444447,0.23695745833333334,3,3,1
2024-05-28,188.815377293375,14.386500000000025,86.56354375,0.0025999999999999994,6.305449333333334,15.605090277777798,0.22963966666666666,3,3,1
2024-05-29,230.93092608666663,15.234604166666687,70.90801875,0,4.2072029375,15.949256944444466,0.24092333333333332,3,3,1
2024-05-30,333.4473474598511,13.945723404255341,45.41250212765957,0,-2.4577846170212796,14.48765957446811,0.24776387234042554,3,3,1
2024-05-31,316.9801498775833,15.947604166666688,55.138139583333334,0,2.411641012500002,14.62545138888891,0.246072125,3,3,1
2024-06-01,167.76762309697918,16.81491666666669,64.59886875,0.0082,4.977217152777778,15.511184027777801,0.243541875,3,2.166666666666667,1
2024-06-02,249.07170656949998,18.380391304347846,85.3031,0.0119,14.539632826086958,17.174206521739148,0.30626215217391306,3,2,1
2024-06-03,315.70431115270833,18.65089583333336,78.8876,0,10.205111070138889,17.39776041666668,0.28660285416666664,3,2,1
2024-06-04,243.57771837210413,23.23764583333336,69.1894125,0,17.567374847222222,19.01622916666669,0.27407312500000003,3,2,1
2024-06-05,145.94258356410415,22.25029166666669,80.17607708333334,0.0031999999999999997,13.466854166666668,19.57471875000002,0.2679167083333333,3,2,1
2024-06-06,273.1123778035417,17.872895833333356,72.02619375,7e-4,3.333103215277779,18.450020833333355,0.26224345833333335,3,2,1
2024-06-07,211.21748381625,15.697979166666693,67.99052083333333,0,-1.8176184624999998,16.865093750000028,0.2471111875,3,2,1
2024-06-08,107.56847861510639,14.778382978723423,82.28239787234043,0.0044,-2.004256035460992,15.697829787234063,0.24158891489361703,3,2,1
2024-06-09,289.49253423145836,15.40345833333336,79.77527291666667,3.0000000000000003e-4,2.4765446041666666,16.22552083333336,0.2502333947368421,3,2,0.7916666666666665
2024-06-10,150.18464425843752,11.653906250000023,72.52795625,0,-9.488250885416667,14.916859375000021,0.38455121875,3,2,1
2024-06-11,224.4345,18.346250000000026,38.618674999999996,0,14.930341666666667,17.61150000000002,0.20513225,3,2,1
2024-06-12,325.49999968208334,19.849208333333358,54.31843125,0,9.85735649236111,17.114833333333355,0.22258624999999999,3,2,1
2024-06-13,267.54341262437504,23.65360416666669,62.131166666666665,0,13.342021541666666,18.79242708333336,0.21078125,3,2,1
2024-06-14,327.87839602291666,20.574687500000017,66.03200625,0,6.346005243055556,18.458229166666694,0.19757060416666666,3,2,1
2024-06-15,312.54832699808543,19.326437500000022,58.184133333333335,0,4.779672590277778,17.757281250000023,0.18038333333333334,3,2,1
