event_id,review_type,site,DateTime,NEE_raw,NEE_auto_screened,NEE_kept_for_diag,Rg,Ustar,VPD,wind_dir,qc_co2_flux,GrowingSeason,WinterWindow,is_daytime,is_night,low_ustar,flag_remove_high_positive,flag_impossible,auto_remove_nee,decision,reason
MD_high_night_20240308_1900,high_night,MD,2024-03-09T00:00:00Z,63.361005,63.361005,63.361005,0.62707,0.418564,0.0367635,67.2761,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,sign change
MD_high_day_20240314_1330,high_day,MD,2024-03-14T17:30:00Z,82.56447,82.56447,82.56447,100.621,0.662485,0.0933042,73.8923,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,sign change
MD_high_day_20240314_1700,high_day,MD,2024-03-14T21:00:00Z,58.32371,58.32371,58.32371,50.5408,0.721152,0.0697854,50.2254,1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,sign change
MD_high_day_20240322_1530,high_day,MD,2024-03-22T19:30:00Z,59.94342,59.94342,59.94342,315.413,0.29479,0.0827228,103.348,1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,sign change
MD_high_day_20240322_1600,high_day,MD,2024-03-22T20:00:00Z,52.007006,52.007006,52.007006,244.417,0.3021,0.0724075,101.086,1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,sign change
MD_high_night_20240326_0430,high_night,MD,2024-03-26T08:30:00Z,86.52055,86.52055,86.52055,0,0.705883,0.186296,147.553,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,unstable period
MD_high_night_20240326_0600,high_night,MD,2024-03-26T10:00:00Z,99.06862,99.06862,99.06862,0,0.803642,0.147245,144.732,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,unstable period
MD_high_night_20240326_0800,high_night,MD,2024-03-26T12:00:00Z,105.36,105.36,105.36,0.659168,0.902807,0.122639,153.006,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,unstable period
MD_high_day_20240402_1400,high_day,MD,2024-04-02T18:00:00Z,62.6628,62.6628,62.6628,103.033,0.645067,0.0612251,90.5079,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,ossillating pattern
MD_high_day_20240402_1500,high_day,MD,2024-04-02T19:00:00Z,51.3407,51.3407,51.3407,107.481,0.706111,0.0455204,84.8834,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,ossillating pattern
MD_high_night_20240402_2030,high_night,MD,2024-04-03T00:30:00Z,50.34143,50.34143,50.34143,0.407997,0.602011,0.0491813,100.49,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,ossillating pattern
MD_high_night_20240402_2330,high_night,MD,2024-04-03T03:30:00Z,53.01867,53.01867,53.01867,0,0.643434,0.0976823,197.425,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,ossillating pattern
MD_high_day_20240404_1230,high_day,MD,2024-04-04T16:30:00Z,109.67688,109.67688,109.67688,197.23,0.512644,0.091357,18.4361,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,sign change
MD_high_day_20240411_1530,high_day,MD,2024-04-11T19:30:00Z,100.50909,100.50909,100.50909,151.903,0.655633,0.115882,6.79291,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,sign change
MD_high_day_20240411_1830,high_day,MD,2024-04-11T22:30:00Z,63.64258,63.64258,63.64258,46.1335,0.485566,0.107525,350.725,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,sign change
MD_high_night_20240417_0430,high_night,MD,2024-04-17T08:30:00Z,60.8558,60.8558,60.8558,0,0.652374,0.457748,109.28,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,ossillating pattern
MD_high_night_20240419_0400,high_night,MD,2024-04-19T08:00:00Z,51.0744,51.0744,51.0744,0,0.152579,0.0701662,301.113,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,keep,pulse
MD_high_night_20240427_0600,high_night,MD,2024-04-27T10:00:00Z,67.82916,67.82916,67.82916,0,0.440933,0.0802021,150.506,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,keep,pulse
MD_high_day_20240429_1330,high_day,MD,2024-04-29T17:30:00Z,76.39671,76.39671,76.39671,638.601,0.57838,0.396924,234.977,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,sign change
MD_high_night_20240503_0230,high_night,MD,2024-05-03T06:30:00Z,94.8611,94.8611,94.8611,0,0.4376,0.13625,206.463,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,sign change
MD_high_night_20240510_0400,high_night,MD,2024-05-10T08:00:00Z,57.82982,57.82982,57.82982,0,0.0692739,0.0168719,98.0021,1,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,keep,pulse
MD_high_night_20240511_0200,high_night,MD,2024-05-11T06:00:00Z,66.9339,66.9339,66.9339,0,0.448558,0.0945491,280.534,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,sign change
MD_high_night_20240520_1900,high_night,MD,2024-05-20T23:00:00Z,70.3813,70.3813,70.3813,8.42534,0.627106,0.148378,187.281,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,keep,pulse
MD_high_night_20240527_0200,high_night,MD,2024-05-27T06:00:00Z,55.76228,55.76228,55.76228,0,0.42101,NA,150.052,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,spike
MD_high_day_20240622_1630,high_day,MD,2024-06-22T20:30:00Z,121.0708,121.0708,121.0708,86.7461,0.481999,0.0275527,241.411,2,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,sign change
MD_high_night_20240623_0430,high_night,MD,2024-06-23T08:30:00Z,74.961,74.961,74.961,0,0.622193,NA,235.616,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,sign change
MD_high_night_20240626_0300,high_night,MD,2024-06-26T07:00:00Z,51.6417,51.6417,51.6417,0,0.165322,NA,303.505,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,ossillating pattern
MD_high_night_20240629_0300,high_night,MD,2024-06-29T07:00:00Z,60.31721,60.31721,60.31721,0,0.337997,NA,179.683,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,ossillating pattern
MD_high_night_20240629_0330,high_night,MD,2024-06-29T07:30:00Z,55.77867,55.77867,55.77867,0,0.368985,NA,179.572,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,ossillating pattern
MD_high_night_20240629_0430,high_night,MD,2024-06-29T08:30:00Z,55.09121,55.09121,55.09121,0,0.430674,NA,193.629,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,spike
MD_high_night_20240710_2330,high_night,MD,2024-07-11T03:30:00Z,55.366936,55.366936,55.366936,0,0.0099003,NA,235.636,1,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,keep,pulse
MD_high_day_20240711_0830,high_day,MD,2024-07-11T12:30:00Z,80.5415,80.5415,80.5415,240.02,0.191818,0.0614662,41.003,2,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,sign change
MD_high_night_20240716_0130,high_night,MD,2024-07-16T05:30:00Z,77.67796,77.67796,77.67796,0,0.559982,0.0133221,220.841,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,keep,pulse
MD_high_day_20240717_0830,high_day,MD,2024-07-17T12:30:00Z,84.9618,84.9618,84.9618,231.026,0.237584,0.0700413,294.847,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,sign change
MD_high_night_20240721_0400,high_night,MD,2024-07-21T08:00:00Z,62.8009,62.8009,62.8009,0,0.0703688,0.00500782,189.633,1,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,keep,pulse
MD_high_night_20240801_0200,high_night,MD,2024-08-01T06:00:00Z,109.6453,109.6453,109.6453,0,0.132128,NA,218.139,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,spike collapse
MD_high_night_20240802_0230,high_night,MD,2024-08-02T06:30:00Z,71.287584,71.287584,71.287584,0,0.235591,0.0293024,126.749,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,keep,pulse
MD_high_day_20240804_0900,high_day,MD,2024-08-04T13:00:00Z,101.38775,101.38775,101.38775,219.418,0.0358006,0.212606,196.068,2,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,remove,sign change
