event_id,review_type,site,DateTime,NEE_raw,NEE_auto_screened,NEE_kept_for_diag,Rg,Ustar,VPD,wind_dir,qc_co2_flux,GrowingSeason,WinterWindow,is_daytime,is_night,low_ustar,flag_fetch_excluded,flag_remove_high_positive,flag_impossible,auto_remove_nee
MD_high_night_20240326_0430,high_night,MD,2024-03-26T08:30:00Z,86.52055,86.52055,86.52055,0,0.705883,0.186296,147.553,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
MD_high_night_20240326_0600,high_night,MD,2024-03-26T10:00:00Z,99.06862,99.06862,99.06862,0,0.803642,0.14724500000000001,144.732,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
MD_high_night_20240326_0800,high_night,MD,2024-03-26T12:00:00Z,105.36000000000001,105.36000000000001,105.36000000000001,0.659168,0.902807,0.122639,153.006,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
MD_high_day_20240402_1400,high_day,MD,2024-04-02T18:00:00Z,62.662800000000004,62.662800000000004,62.662800000000004,103.033,0.645067,0.0612251,90.5079,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MD_high_day_20240402_1500,high_day,MD,2024-04-02T19:00:00Z,51.3407,51.3407,51.3407,107.481,0.706111,0.0455204,84.8834,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MD_high_night_20240402_2030,high_night,MD,2024-04-03T00:30:00Z,50.34143,50.34143,50.34143,0.407997,0.602011,0.0491813,100.49,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
MD_high_night_20240402_2330,high_night,MD,2024-04-03T03:30:00Z,53.01867,53.01867,53.01867,0,0.643434,0.0976823,197.425,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
MD_high_day_20240404_1230,high_day,MD,2024-04-04T16:30:00Z,109.67688,109.67688,109.67688,197.23,0.512644,0.091357,18.4361,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MD_high_day_20240411_1530,high_day,MD,2024-04-11T19:30:00Z,100.50909,100.50909,100.50909,151.903,0.655633,0.115882,6.79291,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MD_high_day_20240411_1830,high_day,MD,2024-04-11T22:30:00Z,63.642579999999995,63.642579999999995,63.642579999999995,46.1335,0.485566,0.10752500000000001,350.725,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
