Date,Year,DaysSinceGSStart,LD_cum_NEE_gC,MD_cum_NEE_gC,LD_cum_GPP_gC,MD_cum_GPP_gC,LD_cum_Reco_gC,MD_cum_Reco_gC,MD_minus_LD_cum_NEE_gC,MD_minus_LD_cum_GPP_gC,MD_minus_LD_cum_Reco_gC
2025-06-05,2025,51,-139.25124956427553,-114.4449801988437,415.35473048472136,436.97711944048257,276.1034809204458,322.5321392416389,24.80626936543183,21.62238895576121,46.4286583211931
2025-06-06,2025,52,-144.66088781523297,-119.05744195647333,427.87407744739954,449.31479389828763,283.2131896321665,330.25735194181436,25.603445858759642,21.44071645088809,47.044162309647845
2025-06-07,2025,53,-150.86233955708198,-124.97552384019124,441.22604444161266,462.9557289864418,290.36370488453065,337.9802051462506,25.886815716890737,21.729684544829126,47.61650026171998
2025-06-08,2025,54,-155.78953140188813,-129.49027264262165,453.61103788840404,475.49546617385556,297.8215064865159,346.005193531234,26.29925875926648,21.88442828545152,48.18368704471811
2025-06-09,2025,55,-161.61276947162295,-136.3148647897467,466.2355528919104,489.6166414019973,304.6227834202874,353.30177661225065,25.297904681876247,23.381088510086897,48.67899319196323
2025-06-10,2025,56,-165.95880662999022,-141.13444052244566,476.6519675352939,501.3323716120976,310.69316090530367,360.19793108965195,24.824366107544563,24.680404076803654,49.504770184348274
2025-06-11,2025,57,-171.62843203860334,-147.82109354922198,488.5111805895906,515.5745437251902,316.88274855098723,367.7534501759683,23.80733848938135,27.063363135599616,50.87070162498105
2025-06-12,2025,58,-174.50776591254956,-153.09809937507626,497.3052447504324,528.5002378217913,322.7974788378828,375.4021384467151,21.4096665374733,31.19499307135891,52.60465960883232
2025-06-13,2025,59,-178.53622738775465,-161.4272451888078,506.6019592891817,544.0738843534102,328.065731901427,382.6466391646025,17.108982198946848,37.471925064228515,54.580907263175504
2025-06-14,2025,60,-185.45918668214858,-169.4556024794478,518.2302840016002,559.5004176046556,332.77109731945166,390.04481512520783,16.00358420270078,41.27013360305534,57.27371780575618
2025-06-15,2025,61,-189.97793742820042,-177.00903619063706,527.9484678388801,575.478423498126,337.97053041067966,398.46938730748894,12.968901237563358,47.52995565924584,60.498856896809286
2025-06-16,2025,62,-194.12891760492863,-183.43956618749786,538.8380435511867,591.5023676742284,344.7091259462581,408.0628014867306,10.689351417430771,52.66432412304164,63.35367554047252
2025-06-17,2025,63,-198.37584243520845,-189.34452455949082,551.4073332983376,608.1438544540504,353.0314908631291,418.79932989455966,9.031317875717633,56.73652115571281,65.76783903143058
2025-06-18,2025,64,-195.31867017547694,-189.131985679862,557.7031007298651,619.0479201682871,362.38443055438813,429.91593448842514,6.186684495614941,61.34481943842195,67.531503934037
2025-06-19,2025,65,-194.0571657639304,-187.73457195216574,566.6113559219255,628.9045500102201,372.554190157995,441.16997805805437,6.322593811764676,62.29319408829463,68.61578790005939
2025-06-20,2025,66,-196.36384632494006,-190.6535200596851,579.8252521611269,642.8518764340372,383.46140583618677,452.1983563743521,5.710326265254963,63.02662427291034,68.73695053816533
2025-06-21,2025,67,-198.162790783972,-194.27579961226974,593.2849274607959,658.3572761104193,395.12213667682386,464.0814764981496,3.8869911717022774,65.07234864962345,68.95933982132573
2025-06-22,2025,68,-200.771618480188,-198.56883450296573,607.1652654269159,674.2786050297382,406.39364694672787,475.7097705267725,2.202783977222282,67.1133396028223,69.31612358004463
2025-06-23,2025,69,-203.56994157798272,-203.41850450863635,620.5675926514568,690.3390254602423,416.9976510734742,486.92052095160597,0.1514370693463718,69.77143280878545,69.92286987813179
